weeks_post_infection,animal_id,viral_load,log_viral_load,weeks_post_treatment,cens,viral_init
4,RJc19,1.03E+07,7.012837225,0,0,10300000
6,RJc19,2.39E+04,4.378397901,2,0,10300000
8,RJc19,1.02E+04,4.008600172,4,0,10300000
12,RJc19,5.63E+02,2.750508395,8,0,10300000
16,RJc19,4.43E+02,2.646403726,12,0,10300000
20,RJc19,2.48E+02,2.394451681,16,0,10300000
22,RJc19,2.28E+02,2.357934847,18,0,10300000
26,RJc19,1.66E+02,2.220108088,22,0,10300000
30,RJc19,9.88E+01,1.994756945,26,0,10300000
34,RJc19,6.00E+01,1.77815125,30,1,10300000
4,RKc19,7.29E+05,5.862727528,0,0,729000
6,RKc19,7.16E+02,2.854913022,2,0,729000
8,RKc19,6.00E+01,1.77815125,4,1,729000
4,RPe19,1.76E+07,7.245512668,0,0,17600000
6,RPe19,3.28E+05,5.515873844,2,0,17600000
8,RPe19,3.90E+04,4.591064607,4,0,17600000
12,RPe19,5.99E+02,2.777426822,8,0,17600000
16,RPe19,4.81E+02,2.682145076,12,0,17600000
20,RPe19,3.17E+02,2.501059262,16,0,17600000
22,RPe19,6.00E+01,1.77815125,18,1,17600000
4,RYi19,6.03E+05,5.780317312,0,0,603000
6,RYi19,1.22E+03,3.086359831,2,0,603000
8,RYi19,3.09E+02,2.489958479,4,0,603000
12,RYi19,6.00E+01,1.77815125,8,1,603000
4,RFj19,1.03E+06,6.012837225,0,0,1030000
6,RFj19,7.21E+05,5.857935265,2,0,1030000
8,RFj19,6.00E+01,1.77815125,4,1,1030000
4,RLn19,1.36E+07,7.133538908,0,0,13600000
6,RLn19,2.65E+04,4.423245874,2,0,13600000
8,RLn19,8.62E+03,3.935507266,4,0,13600000
12,RLn19,6.00E+01,1.77815125,8,1,13600000
4,RWo19,5.90E+06,6.770852012,0,0,5900000
6,RWo19,7.53E+04,4.876794976,2,0,5900000
8,RWo19,6.28E+03,3.797959644,4,0,5900000
12,RWo19,2.19E+02,2.340444115,8,0,5900000
16,RWo19,6.82E+01,1.833784375,12,0,5900000
20,RWo19,6.02E+01,1.779596491,16,0,5900000
22,RWo19,6.00E+01,1.77815125,18,1,5900000
4,RHb20,9.42E+05,5.974050903,0,0,942000
6,RHb20,4.76E+03,3.677606953,2,0,942000
8,RHb20,6.00E+01,1.77815125,4,1,942000
4,RVb20,3.72E+06,6.57054294,0,0,3720000
6,RVb20,6.81E+02,2.833147112,2,0,3720000
8,RVb20,6.00E+01,1.77815125,4,1,3720000
4,RQb20,5.55E+05,5.744292983,0,0,555000
6,RQb20,9.97E+02,2.998695158,2,0,555000
8,RQb20,6.00E+01,1.77815125,4,1,555000
4,RQi20,3.50E+07,7.544068044,0,0,35000000
6,RQi20,7.96E+04,4.900913068,2,0,35000000
8,RQi20,1.12E+03,3.049218023,4,0,35000000
12,RQi20,5.55E+02,2.744292983,8,0,35000000
16,RQi20,2.11E+02,2.324282455,12,0,35000000
20,RQi20,1.55E+02,2.190331698,16,0,35000000
22,RQi20,1.80E+03,3.255272505,18,0,35000000
26,RQi20,6.00E+01,1.77815125,22,1,35000000
